shell,alt_lower_km,alt_upper_km,alt_mid_km,S_maneuverable,D_non_maneuverable,volume_m3,density_per_km3,collision_rate_per_year,collision_prob_annual,satellite_cost_usd,marginal_risk_imposed,tax_congestion_usd_year,tax_pollution_usd_year,pigouvian_tax_usd_year,total_external_cost_usd_year
1,200.0,235.0,217.5,5,0,1.9133409480239882e+19,2.613230017976552e-10,4.60144252577836e-09,4.601442560314695e-09,22592312.77900572,1.15036063144459e-09,0.1299465359712535,350.12928048214513,350.2592270181164,1751.296135090582
2,235.0,270.0,252.5,113,6,1.9337012137565364e+19,6.1540014120807574e-09,2.3151892300703588e-06,2.3151865500281588e-06,9598286.79149988,1.1382482906248966e-09,1.2345513892688056,3326.3879364859827,3327.6224878752514,376021.3411299034
3,270.0,305.0,287.5,126,7,1.954169236117093e+19,6.805961200385547e-09,2.666380671352273e-06,2.666377116544716e-06,5082164.457166512,1.126326246702709e-09,0.7212460774889496,1943.332835110275,1944.054081187764,244950.81422965828
4,305.0,340.0,322.5,112,25,1.9747450151057007e+19,6.9376045490443685e-09,9.049700280503532e-06,9.049659332127646e-06,3136845.9084305735,1.1145905341200988e-09,0.3915854607313689,1055.0918852001846,1055.483470660916,118214.1487140226
5,340.0,375.0,357.5,818,51,1.99542855072229e+19,4.354954226175856e-08,1.8921437482146938e-05,1.8921258472914815e-05,2209588.6589677557,1.1030372900803452e-09,1.9936776056224867,5371.78540661051,5373.779084216133,4395751.290888797
6,375.0,410.0,392.5,163,45,2.0162198429669155e+19,1.0316335330472845e-08,1.5913111870870767e-05,1.5912985257937606e-05,1728095.1991341272,1.0916627513688162e-09,0.3074990370333826,828.5285620023609,828.8360610393943,135100.27794942126
7,410.0,445.0,427.5,355,74,2.0371188918395503e+19,2.105915377440765e-08,2.5994413973317457e-05,2.5994076121471643e-05,1492168.5370818258,1.0804632512882443e-09,0.5723428105111357,1542.1263440044556,1542.6986868149668,547658.0338193132
8,445.0,480.0,462.5,5184,131,2.058125697340222e+19,2.58244674116296e-07,5.04201458213812e-05,5.0418874747215625e-05,1367853.6908417754,1.0694352167032975e-09,7.583315428543113,20432.56293690133,20440.146252329872,105961718.17207806
9,480.0,515.0,497.5,4075,133,2.0792402594689024e+19,2.023816141899274e-07,4.9412363764550654e-05,4.94111429938382e-05,1300540.063535635,1.058575165190324e-09,5.610131606320017,15115.996190660293,15121.606322266613,61620545.76323645
10,515.0,550.0,532.5,998,183,2.100462578225592e+19,5.622571010037577e-08,6.247227327335878e-05,6.247032192152613e-05,1284835.622064045,1.0478797022877845e-09,1.3436604627989372,3620.3725442605955,3621.7162047233946,3614472.772313948
11,550.0,585.0,567.5,1107,245,2.1217926536103182e+19,6.3719704076622e-08,8.255961936431409e-05,8.255621141273206e-05,1379415.362675922,1.0373455188434733e-09,1.5840398920209535,4268.053345962241,4269.637385854262,4726488.586140668
12,585.0,620.0,602.5,331,350,2.143230485623026e+19,3.177446404239798e-08,0.00011547887434795018,0.00011547220691943139,1504081.176105171,1.0269693884546612e-09,0.5112776027772062,1377.5916214235997,1378.102899026377,456152.0595777308
13,620.0,655.0,637.5,393,412,2.1647760742637978e+19,3.71862942116896e-08,0.0001345857987658051,0.0001345767425035005,1642179.5065340467,1.0167481649972494e-09,0.6561854189467802,1768.032728856549,1768.6889142754958,695094.7433102699
14,655.0,690.0,672.5,54,505,2.186429419532579e+19,2.5566798315378717e-08,0.00016290152235797222,0.00016288825462540402,1785953.7855998853,1.006678780240804e-09,0.0970856160365235,261.5884804774906,261.6855660935271,14131.020569050463
15,690.0,725.0,707.5,47,682,2.208190521429342e+19,3.30134557197594e-08,0.00021780419018721858,0.00021778047257658972,1930470.4703214755,9.967582415456422e-10,0.09043798051361088,243.6770230835064,243.76746106402,11457.070670008941
16,725.0,760.0,742.5,49,789,2.2300593799541408e+19,3.757747473151288e-08,0.00024949969011916643,0.0002494685676598385,1967546.1983958324,9.869836296390135e-10,0.0951548585303829,256.386227632828,256.48138249135843,12567.587742076563
17,760.0,795.0,777.5,120,1072,2.2520359951069766e+19,5.292988223056254e-08,0.0003357352130099045,0.0003356788602499883,1966707.3847489425,9.773520964673178e-10,0.23065987027465615,621.4923222981181,621.7229821683927,74606.75786020713
18,795.0,830.0,812.5,66,1034,2.2741203668878217e+19,4.8370350840548144e-08,0.00032064116075690305,0.00032058976087367963,1966192.4858487367,9.67860863121252e-10,0.12559804992346119,338.4126750357561,338.5382730856795,22343.52602365485
19,830.0,865.0,847.5,53,1010,2.2963124952966484e+19,4.6291608924188546e-08,0.0003101609679281735,0.00031011287298765566,1965896.17077622,9.585072178311366e-10,0.09986926046736677,269.0887606073503,269.18862986781767,14266.997382994336
