shell,alt_lower_km,alt_upper_km,alt_mid_km,active_payload,component,debris,derelict_payload,rocket_body,S_maneuverable,D_non_maneuverable,total
1,200.0,235.0,217.5,5,0,0,0,0,5,0,5
2,235.0,270.0,252.5,113,0,0,3,3,113,6,119
3,270.0,305.0,287.5,126,1,3,2,1,126,7,133
4,305.0,340.0,322.5,112,2,6,8,9,112,25,137
5,340.0,375.0,357.5,818,4,13,22,12,818,51,869
6,375.0,410.0,392.5,163,5,14,15,11,163,45,208
7,410.0,445.0,427.5,355,6,24,27,17,355,74,429
8,445.0,480.0,462.5,5184,23,32,45,31,5184,131,5315
9,480.0,515.0,497.5,4075,13,43,52,25,4075,133,4208
10,515.0,550.0,532.5,998,22,74,66,21,998,183,1181
11,550.0,585.0,567.5,1107,28,118,63,36,1107,245,1352
12,585.0,620.0,602.5,331,29,184,69,68,331,350,681
13,620.0,655.0,637.5,393,39,274,70,29,393,412,805
14,655.0,690.0,672.5,54,35,382,54,34,54,505,559
15,690.0,725.0,707.5,47,49,550,50,33,47,682,729
16,725.0,760.0,742.5,49,48,643,44,54,49,789,838
17,760.0,795.0,777.5,120,54,817,132,69,120,1072,1192
18,795.0,830.0,812.5,66,40,898,58,38,66,1034,1100
19,830.0,865.0,847.5,53,19,867,71,53,53,1010,1063
20,865.0,900.0,882.5,31,18,649,26,28,31,721,752
21,900.0,935.0,917.5,20,42,425,48,21,20,536,556
22,935.0,970.0,952.5,94,32,344,56,48,94,480,574
23,970.0,1005.0,987.5,35,97,302,178,148,35,725,760
24,1005.0,1040.0,1022.5,32,24,227,15,13,32,279,311
25,1040.0,1075.0,1057.5,152,23,188,18,16,152,245,397
26,1075.0,1110.0,1092.5,57,79,156,42,18,57,295,352
27,1110.0,1145.0,1127.5,5,13,148,10,14,5,185,190
28,1145.0,1180.0,1162.5,225,14,99,6,9,225,128,353
29,1180.0,1215.0,1197.5,480,9,93,22,17,480,141,621
30,1215.0,1250.0,1232.5,120,9,88,4,5,120,106,226
31,1250.0,1285.0,1267.5,0,1,325,1,1,0,328,328
32,1285.0,1320.0,1302.5,2,3,98,4,6,2,111,113
33,1320.0,1355.0,1337.5,3,9,83,7,15,3,114,117
34,1355.0,1390.0,1372.5,1,4,83,12,9,1,108,109
35,1390.0,1425.0,1407.5,25,14,88,166,1,25,269,294
36,1425.0,1460.0,1442.5,2,14,94,175,31,2,314,316
37,1460.0,1495.0,1477.5,36,4,147,173,10,36,334,370
38,1495.0,1530.0,1512.5,2,6,152,53,15,2,226,228
39,1530.0,1565.0,1547.5,1,5,119,15,12,1,151,152
40,1565.0,1600.0,1582.5,1,3,115,13,39,1,170,171
