operator_code,n_satellites,mean_altitude_km,mean_collision_prob,total_tax_usd_year,state,tax_per_satellite_usd_year,expected_losses_usd_year,state_short,state_name
SPXS,10859,470.28128741136385,4.922317036197746e-05,160468693.88234535,US,14777.483551187526,845492.0058187605,USA,United States of America
KUIP,392,588.5637755102041,0.0001121286653715664,2084403.925044761,US,5317.356951644799,69526.8910854403,USA,United States of America
PLAN,110,465.4727272727273,4.1777215907819316e-05,1336741.4921067392,US,12152.195382788539,7269.127225942843,USA,United States of America
ONEWEBE,652,1197.228527607362,3.822897694402983e-05,1184089.897276975,UK,1816.0887995045628,39426.693971725006,UK,United Kingdom of Great Britain and Northern Ireland
NROC,266,498.4248120300752,5.575277548790569e-05,1098642.257082209,US,4130.2340491812365,23458.39091829273,USA,United States of America
JHB,127,615.2283464566929,7.947118209664904e-05,982544.2642465212,CN,7736.569009815127,15964.800072075592,China,"China, People's Republic of"
CGSTL,75,476.98,5.1713315883358625e-05,554107.2150893618,CN,7388.09620119149,6134.988309628533,China,"China, People's Republic of"
SITRO,51,480.98039215686276,5.391354370074803e-05,449228.47207828984,RU,8808.4014132998,4349.287783729194,Russia,Russian Federation
HE360,37,492.2432432432432,5.24486532511311e-05,421621.16057869996,US,11395.166502127026,3069.6308819845913,USA,United States of America
ZXW,206,1104.888349514563,4.4847615705768426e-05,385418.7966587041,CN,1870.9650323238063,14613.581623781176,China,"China, People's Republic of"
TIANMU,22,458.9318181818182,4.2474655315008746e-05,292322.48746611056,CN,13287.385793914116,1478.0959748209525,China,"China, People's Republic of"
YYAO,34,511.22058823529414,5.6188549434921894e-05,261434.72700794373,CN,7689.256676704227,3021.8773103251365,China,"China, People's Republic of"
ASI/OHBI,16,505.1875,4.94111429938382e-05,241945.7011562658,I,15121.606322266613,1250.5324715104546,Italy,Italian Republic
B1440,37,433.8243243243243,5.3593330429574524e-05,234867.4759312398,RU,6347.769619763238,3136.624716888772,Russia,Russian Federation
VVKOV,49,998.3673469387755,8.760754819266222e-05,227625.4129141907,RU,4645.416590085524,6790.280212099831,Russia,Russian Federation
SPIRE,39,546.0769230769231,8.159759930081146e-05,227351.8805113758,US,5829.535397727585,5033.755055377701,USA,United States of America
URUGUS,18,456.5,3.993587202289545e-05,226030.30703082678,UY,12557.239279490377,1137.0662452103693,Uruguay,Eastern Republic of Uruguay
STTS,14,470.17857142857144,4.50575769258713e-05,215028.1875696577,RU,15359.156254975549,997.8056500404728,Russia,Russian Federation
GUOX/ZJLAB,12,483.0833333333333,4.779563133893346e-05,189154.52795200073,CN,15762.877329333394,907.2344621707991,China,"China, People's Republic of"
TAU/ISA,9,461.0,5.0418874747215625e-05,183961.31627096885,IL,20440.146252329872,717.770737091718,Israel,"Israel, State of"
PLNSST,17,512.5882352941177,5.579826326289747e-05,182896.21934937628,TR,10758.601138198605,1500.443661612857,Turkey,"Turkey, Republic of"
TOMIO,11,496.40909090909093,5.2790778942238525e-05,176759.86032877341,US,16069.078211706674,918.5458632151987,USA,United States of America
SIWEI,12,502.7916666666667,5.0499407904478856e-05,169959.38574965612,CN,14163.282145804676,958.5562924208883,China,"China, People's Republic of"
DORBIT,18,538.5,7.708183921156797e-05,167479.55264462912,I,9304.419591368285,2194.697474890705,Italy,Italian Republic
GEOSK,9,462.77777777777777,4.7593038038424356e-05,159745.3287753907,RU,17749.48097504341,677.5416977182847,Russia,Russian Federation
CSICE,11,485.0,4.7373930710293734e-05,158077.30183954435,J,14370.663803594942,824.2941087456999,Japan,"Japan (Nippon), State of"
ICEYE,27,541.9629629629629,7.958998187390037e-05,149998.57613471244,FI,5555.502819804165,3399.165108771143,Finland,Republic of Finland
UNSEEN,17,511.7647058823529,5.832020855498107e-05,147613.3738410999,F,8683.13963771176,1568.2600524315544,France,French Republic
BSKG,15,433.73333333333335,3.5035933218260006e-05,139579.81310752124,US,9305.32087383475,831.2947527703228,USA,United States of America
PLABST,14,454.85714285714283,4.401843230900093e-05,135469.16348706765,US,9676.368820504833,974.7936631413938,USA,United States of America
MGU,7,481.0,4.998698971005387e-05,127125.40397611933,RU,18160.771996588475,553.4840548934183,Russia,Russian Federation
ASI,11,514.0,7.150917698078347e-05,126562.69485150048,I,11505.69953195459,1244.2411347915772,Italy,Italian Republic
